
Nombre de imagen               PID Servicios                                    
========================= ======== =============================================
svchost.exe                   1316 BrokerInfrastructure, DcomLaunch, PlugPlay,  
                                   Power, SystemEventsBroker                    
svchost.exe                   1408 RpcEptMapper, RpcSs                          
svchost.exe                   1456 LSM                                          
svchost.exe                   1712 bthserv                                      
svchost.exe                   1720 BTAGService                                  
svchost.exe                   1728 BthAvctpSvc                                  
svchost.exe                   1852 NcbService                                   
svchost.exe                   1860 TimeBrokerSvc                                
svchost.exe                   2004 EventLog                                     
svchost.exe                   1424 hidserv                                      
svchost.exe                   2156 nsi                                          
svchost.exe                   2208 Schedule                                     
svchost.exe                   2256 Dhcp                                         
svchost.exe                   2368 CoreMessagingRegistrar                       
svchost.exe                   2376 NlaSvc                                       
svchost.exe                   2400 ProfSvc                                      
svchost.exe                   2552 UserManager                                  
svchost.exe                   2600 netprofm                                     
svchost.exe                   2620 camsvc                                       
svchost.exe                   2852 DispBrokerDesktopSvc                         
svchost.exe                   2880 DeviceAssociationService                     
svchost.exe                   2888 StateRepository                              
svchost.exe                   2360 WinHttpAutoProxySvc                          
svchost.exe                   3160 Dnscache                                     
svchost.exe                   3392 Winmgmt                                      
svchost.exe                   3476 EventSystem                                  
svchost.exe                   3908 Themes                                       
svchost.exe                   3912 SysMain                                      
svchost.exe                   3924 SENS                                         
svchost.exe                   4004 AudioEndpointBuilder                         
svchost.exe                   4012 FontCache                                    
svchost.exe                   4544 Audiosrv                                     
svchost.exe                   4588 RmSvc                                        
svchost.exe                   4780 DusmSvc                                      
svchost.exe                   4784 Wcmsvc                                       
svchost.exe                   4836 ShellHWDetection                             
svchost.exe                   5080 NgcCtnrSvc                                   
svchost.exe                   4092 BFE, mpssvc                                  
svchost.exe                   4404 LanmanWorkstation                            
svchost.exe                   5280 DiagTrack                                    
svchost.exe                   5288 CryptSvc                                     
svchost.exe                   5332 DPS                                          
svchost.exe                   5352 IKEEXT                                       
svchost.exe                   5376 iphlpsvc                                     
svchost.exe                   5420 SstpSvc                                      
svchost.exe                   5464 StiSvc                                       
svchost.exe                   5480 WpnService                                   
svchost.exe                   5500 TrkWks                                       
svchost.exe                   5968 WdiServiceHost                               
svchost.exe                   6792 LanmanServer                                 
svchost.exe                   6864 RasMan                                       
svchost.exe                   5948 DeviceInstall                                
svchost.exe                   8340 InstallService                               
svchost.exe                   8416 StorSvc                                      
svchost.exe                   8856 CDPSvc                                       
svchost.exe                   9496 TokenBroker                                  
svchost.exe                   9512 TabletInputService                           
svchost.exe                   8960 lfsvc                                        
svchost.exe                  11912 UsoSvc                                       
svchost.exe                  16204 LicenseManager                               
svchost.exe                  11776 PcaSvc                                       
svchost.exe                  17200 DoSvc                                        
svchost.exe                  16648 SSDPSRV                                      
svchost.exe                   1476 Appinfo                                      
svchost.exe                   2064 seclogon                                     
svchost.exe                  16368 wscsvc                                       
svchost.exe                  22248 DsSvc                                        
svchost.exe                   4392 WebClient                                    
svchost.exe                   2228 AppXSvc                                      
svchost.exe                  17840 wuauserv                                     
svchost.exe                  18124 lmhosts                                      
svchost.exe                  18612 NgcSvc                                       
svchost.exe                  19764 BluetoothUserService_16bee96                 
svchost.exe                   7948 CDPUserSvc_16bee96                           
svchost.exe                  12056 WpnUserService_16bee96                       
svchost.exe                  12244 cbdhsvc_16bee96                              
svchost.exe                  18196 WdiSystemHost                                
svchost.exe                  10668 OneSyncSvc_16bee96                           
